cenario;trecho;area_km2;Q_m3s;h_m;z_talvegue_m;z_linha_dagua_m;declividade;n_manning
sem_barragem;322;728,4;999;4,84;37,0;41,8;0,0012499999720603228;0,067
sem_barragem;323;746,6;1021;1,76;36,2;37,9;0,1558299958705902;0,066
sem_barragem;324;746,9;1021;2,5;96,5;99,0;0,05592000111937523;0,063
sem_barragem;325;747,9;1022;2,46;35,5;38,0;0,0522099994122982;0,064
sem_barragem;326;748,4;1023;4,71;35,0;39,7;0,0008500000112690032;0,059
sem_barragem;327;748,9;1023;2,14;90,5;92,6;0,05150999873876572;0,059
sem_barragem;328;752,5;1027;4,66;88,0;92,7;0,004699999932199717;0,063
sem_barragem;329;754,9;1030;2,51;82,5;85,0;0,043209999799728394;0,065
sem_barragem;330;755,2;1031;2,46;34,5;37,0;0,0025599999353289604;0,05
sem_barragem;331;771,6;1050;0,92;57,2;58,1;0,04758000001311302;0,067
sem_barragem;332;772,0;1050;3,54;29,7;33,3;0,04706000164151192;0,063
sem_barragem;333;772,9;1051;2,88;29,1;32,0;0,04540000110864639;0,067
sem_barragem;334;773,7;1052;3,17;76,5;79,7;0,04458000138401985;0,065
sem_barragem;335;775,3;1054;2,69;74,5;77,2;0,043529998511075974;0,065
sem_barragem;336;778,4;1058;2,22;209,5;211,7;0,123089998960495;0,067
sem_barragem;337;779,5;1059;1,83;207,0;208,8;0,12076999992132187;0,066
sem_barragem;338;791,2;1072;6,04;70,5;76,5;0,0033199999015778303;0,065
sem_barragem;339;792,5;1074;2,88;67,0;69,9;0,03824999928474426;0,068
sem_barragem;340;794,4;1076;4,47;27,2;31,7;0,0012700000079348683;0,059
sem_barragem;341;813,9;1098;5,53;203,5;209,0;0,003490000031888485;0,066
sem_barragem;342;820,8;1106;7,15;199,5;206,7;0,003060000017285347;0,065
sem_barragem;343;822,5;1108;5,64;195,5;201,1;0,0038900000508874655;0,063
sem_barragem;344;824,4;1110;5,62;191,0;196,6;0,004310000222176313;0,064
sem_barragem;345;834,9;1122;6,96;187,0;194,0;0,0026199999265372753;0,065
sem_barragem;346;850,5;1140;2,01;183,2;185,3;0,1392499953508377;0,067
sem_barragem;347;861,4;1153;1,21;27,4;28,6;0,1370600014925003;0,052
sem_barragem;348;865,8;1158;6,35;179,5;185,9;0,003930000122636557;0,062
sem_barragem;349;867,9;1160;7,03;175,5;182,5;0,003490000031888485;0,063
sem_barragem;350;872,6;1165;7,47;171,8;179,2;0,0034000000450760126;0,064
sem_barragem;351;874,0;1167;6,58;168,0;174,6;0,003060000017285347;0,059
sem_barragem;352;877,4;1171;1,77;26,0;27,8;0,12266000360250473;0,066
sem_barragem;353;881,0;1175;2,59;26,3;28,9;0,0017399999778717756;0,064
sem_barragem;354;886,9;1182;3,9;25,0;28,9;0,00203999993391335;0,058
sem_barragem;355;887,8;1183;1,63;24,9;26,6;0,12473999708890915;0,053
sem_barragem;356;891,9;1187;0,56;162,5;163,1;0,123089998960495;0,046
