nome;potencia_MW;area_drenagem_km2;cota_NA_atual_m;area_espelho_atual_km2;altura_cenario_m;volume_limite_upper_hm3;percentual_do_necessario;custo_baixo_MRS;custo_base_MRS;custo_alto_MRS
Criúva;23,9;670.4;660.0;0,51;2;0,8;0,02476780185758514;1,1317661596045876;2,306636155606407;4,174508383098873
Criúva;23,9;670.4;660.0;0,51;3;1,5;0,04643962848297214;2,1220615492586017;4,324942791762013;7,8272032183103875
Criúva;23,9;670.4;660.0;0,51;5;3,4;0,10526315789473684;4,8100061783194965;9,80320366132723;17,74166062817021
Criúva;23,9;670.4;660.0;0,51;8;6,6;0,2043343653250774;9,337070816737846;19,029748283752856;34,4396941605657
Criúva;23,9;670.4;660.0;0,51;10;9,0;0,2786377708978328;12,73236929555161;25,94965675057208;46,96321930986232
Criúva;23,9;670.4;660.0;0,51;15;15,8;0,4891640866873065;22,3523816521906;45,55606407322654;82,44654056620274
Criúva;23,9;670.4;660.0;0,51;20;23,9;0,739938080495356;33,81151401818705;68,9107551487414;124,71343794507882
TOTAL_CASCATA;797,3;;;11,06;1;6,8999999999999995;0,2136222910216718;9,76148312658957;19,89473684210526;36,00513480422778
TOTAL_CASCATA;797,3;;;11,06;2;19,900000000000002;0,6160990712074303;28,152683220164114;57,37757437070937;103,84089602958448
TOTAL_CASCATA;797,3;;;11,06;3;36,5;1,130030959752322;51,6368310319593;105,2402745995423;190,46194497888607
TOTAL_CASCATA;797,3;;;11,06;5;79,6;2,4643962848297214;112,61073288065644;229,51029748283747;415,3635841183379
TOTAL_CASCATA;797,3;;;11,06;8;158,79999999999998;4,91640866873065;224,6555826815106;457,8672768878718;828,6399140451263
TOTAL_CASCATA;797,3;;;11,06;10;219,90000000000003;6,8080495356037165;311,0942231213111;634,0366132723111;1147,4679918043025
TOTAL_CASCATA;797,3;;;11,06;15;401,20000000000005;12,421052631578949;567,5807290417006;1156,7780320366128;2093,5159541240846
TOTAL_CASCATA;797,3;;;11,06;20;635,1999999999999;19,6656346749226;898,6223307260424;1831,469107551487;3314,5596561805046
