alternativa_antas;eixos_antas;cenario_forqueta;eixos_forqueta;regra_operativa;fisicamente_admissivel;pico_natural_estrela_m3s;pico_resultante_estrela_m3s;reducao_pico_pct;acima_limiar_preliminar_m3s;razao_limiar_preliminar;reducao_em_relacao_evento_2023_pct;area_controlada_antas_km2;area_controlada_forqueta_km2;volume_usado_antas_hm3;volume_usado_forqueta_hm3;volume_usado_total_hm3;algum_reservatorio_saturou;observacao
ALT-J;E02+E04+E01+E05+E08+E12;SEM_FORQUETA;-;comportas;True;16903,1;8301,3;50,89;4301,3;2,075;51,91;15759,8;0,0;2345,0;0,0;2345,0;True;
ALT-J;E02+E04+E01+E05+E08+E12;SEM_FORQUETA;-;convencional;True;16903,1;15804,2;6,5;11804,2;3,951;8,44;15759,8;0,0;594,4;0,0;594,4;True;
ALT-J;E02+E04+E01+E05+E08+E12;FQ1;FQ1;seca;True;16903,1;6877,2;59,31;2877,2;1,719;60,16;15759,8;2350,1;2602,2;212,3;2814,5;True;
ALT-J;E02+E04+E01+E05+E08+E12;FQ1;FQ1;comportas;True;16903,1;7887,0;53,34;3887,0;1,972;54,31;15759,8;2350,1;2345,0;142,8;2487,8;True;
ALT-J;E02+E04+E01+E05+E08+E12;FQ1;FQ1;convencional;True;16903,1;15814,6;6,44;11814,6;3,954;8,38;15759,8;2350,1;594,4;27,8;622,2;True;
ALT-J;E02+E04+E01+E05+E08+E12;FQ2;FQ2;seca;True;16903,1;6802,4;59,76;2802,4;1,701;60,59;15759,8;2204,2;2602,2;148,4;2750,6;True;
ALT-J;E02+E04+E01+E05+E08+E12;FQ2;FQ2;comportas;True;16903,1;8319,7;50,78;4319,7;2,08;51,8;15759,8;2204,2;2345,0;89,7;2434,8;True;
ALT-J;E02+E04+E01+E05+E08+E12;FQ2;FQ2;convencional;True;16903,1;15813,9;6,44;11813,9;3,953;8,38;15759,8;2204,2;594,4;16,6;611,1;True;
ALT-J;E02+E04+E01+E05+E08+E12;FQ1+FQ2_INVIAVEL;FQ1+FQ2;seca;False;16903,1;6877,2;59,31;2877,2;1,719;60,16;15759,8;2350,1;2602,2;229,5;2831,7;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-J;E02+E04+E01+E05+E08+E12;FQ1+FQ2_INVIAVEL;FQ1+FQ2;comportas;False;16903,1;7045,3;58,32;3045,3;1,761;59,18;15759,8;2350,1;2345,0;223,5;2568,5;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
ALT-J;E02+E04+E01+E05+E08+E12;FQ1+FQ2_INVIAVEL;FQ1+FQ2;convencional;False;16903,1;15824,8;6,38;11824,8;3,956;8,32;15759,8;2350,1;594,4;44,4;638,8;True;"incluir apenas como limite teórico; FQ1 e FQ2 interferem por cota"
