t_h;Natural em Estrela;Afluente ao reservatório;Efluente (comportas);Resultante em Estrela
362;578,500672362755;486,416772810441;486,416872163754;578,500771716068
363;578,50044980407;486,416585677941;486,416679244191;578,50054337032
364;578,500240214082;486,416409449821;486,416497563881;578,500328328142
365;578,50004284201;486,416243494808;486,416326472315;578,500125819516
366;578,499856980222;486,41608721791;486,416165356359;578,499935118671
367;578,499681961776;486,415940058344;486,416013638127;578,499755541559
368;578,499517158096;486,41580148759;486,415870772967;578,499586443472
369;578,499361976787;486,415671007549;486,415736247569;578,499427216807
370;578,499215859565;486,415548148803;486,415609578176;578,499277288938
371;578,499078280313;486,415432468979;486,415490308891;578,499136120225
372;578,498948743236;486,415323551202;486,415378010091;578,499003202124
373;578,498826781134;486,41522100264;486,415272276921;578,498878055415
374;578,498711953758;486,415124453122;486,415172727881;578,498760228518
375;578,498603846276;486,415033553845;486,415079003483;578,498649295915
376;578,498502067809;486,414947976151;486,414990764998;578,498544856656
377;578,498406250062;486,414867410369;486,41490769326;578,498446532954
378;578,498316046029;486,414791564728;486,414829487548;578,49835396885
379;578,498231128772;486,414720164329;486,414755864528;578,498266828971
380;578,498151190265;486,41465295018;486,414686557254;578,498184797339
381;578,498075940314;486,414589678277;486,414621314229;578,498107576265
382;578,498005105529;486,414530118749;486,414559898513;578,498034885294
383;578,497938428358;486,414474055038;486,414502086893;578,497966460214
384;578,497875666177;486,414421283141;486,414447669089;578,497902052125
385;578,497816590429;486,414371610883;486,414396447012;578,497841426558
386;578,497760985817;486,414324857237;486,41434823406;578,49778436264
387;578,497708649539;486,414280851681;486,414302854459;578,497730652317
388;578,497659390566;486,414239433595;486,414260142638;578,497680099609
389;578,497613028968;486,414200451689;486,414219942642;578,497632519921
390;578,497569395267;486,414163763462;486,414182107575;578,49758773938
391;578,497528329841;486,4141292347;486,414146499081;578,497545594222
392;578,497489682349;486,414096738993;486,414112986846;578,497505930202
393;578,497453311198;486,414066157286;486,414081448139;578,497468602051
394;578,497419083037;486,414037377456;486,414051767371;578,497433472953
395;578,497386872281;486,414010293905;486,41402383568;578,497400414057
396;578,49735656066;486,413984807192;486,413997550549;578,497369304017
397;578,497328036797;486,413960823666;486,413972815429;578,49734002856
398;578,497301195807;486,41393825514;486,413949539403;578,49731248007
399;578,497275938926;486,413917018569;486,413927636854;578,497286557211
400;578,497252173149;486,413897035753;486,413907027161;578,497262164557
401;578,497229810902;486,413878233058;486,413887634405;578,49723921225
402;578,497208769726;486,413860541149;486,413869387104;578,497217615681
403;578,497188971977;486,413843894743;486,413852217946;578,49719729518
404;578,497170344549;486,41382823237;486,413836063556;578,497178175736
405;578,497152818611;486,413813496155;486,413820864262;578,497160186719
406;578,497136329357;486,413799631608;486,413806563881;578,49714326163
407;578,497120815773;486,413786587427;486,413793109517;578,497127337863
408;578,497106220416;486,413774315312;486,413780451369;578,497112356473
409;578,497092489206;486,413762769793;486,413768542553;578,497098261966
410;578,497079571232;486,413751908061;486,413757338927;578,497085002098
411;578,497067418566;486,413741689818;486,413746798939;578,497072527688
412;578,497055986088;486,413732077125;486,413736883472;578,497060792434
413;578,497045231326;486,413723034272;486,413727555699;578,497049752753
414;578,497035114297;486,41371452764;486,413718780956;578,497039367613
415;578,497025597367;486,413706525585;486,413710526612;578,497029598395
416;578,49701664511;486,413698998319;486,413702761952;578,497020408743
417;578,49700822418;486,413691917806;486,413695458063;578,497011764436
418;578,49700030319;486,413685257654;486,41368858773;578,497003633266
419;578,496992852599;486,413678993024;486,413682125339;578,496995984914
420;578,4969858446;486,413673100537;486,413676046781;578,496988790844
421;578,496979253025;486,413667558188;486,413670329362;578,4969820242
422;578,496973053243;486,413662345267;486,413664951727;578,496975659703
423;578,496967222071;486,413657442283;486,413659893775;578,496969673563
424;578,496961737695;486,413652830892;486,413655136588;578,496964043391
425;578,496956579583;486,413648493832;486,413650662362;578,496958748113
426;578,496951728412;486,413644414855;486,413646454343;578,496953767901
427;578,496947166;486,413640578673;486,413642496764;578,496949084091
428;578,496942875234;486,413636970898;486,413638774785;578,496944679121
429;578,496938840013;486,41363357799;486,413635274444;578,496940536466
430;578,496935045183;486,41363038721;486,4136319826;578,496936640574
431;578,496931476488;486,413627386568;486,413628886889;578,496932976809
432;578,496928120509;486,413624564783;486,413625975676;578,496929531402
433;578,496924964624;486,413621911241;486,413623238012;578,496926291395
434;578,496921996952;486,413619415954;486,413620663598;578,496923244595
435;578,496919206317;486,413617069524;486,413618242739;578,496920379532
436;578,496916582203;486,413614863108;486,413615966316;578,496917685411
