cenario;trecho;area_km2;Q_m3s;h_m;z_talvegue_m;z_linha_dagua_m;declividade;n_manning
sem_barragem;330;755,2;1138;2,56;34,5;37,1;0,0025599999353289604;0,05
sem_barragem;331;771,6;1159;0,98;57,2;58,1;0,04758000001311302;0,067
sem_barragem;332;772,0;1160;3,82;29,7;33,5;0,04706000164151192;0,063
sem_barragem;333;772,9;1161;3,04;29,1;32,1;0,04540000110864639;0,067
sem_barragem;334;773,7;1162;3,36;76,5;79,9;0,04458000138401985;0,065
sem_barragem;335;775,3;1164;2,86;74,5;77,4;0,043529998511075974;0,065
sem_barragem;336;778,4;1168;2,34;209,5;211,8;0,123089998960495;0,067
sem_barragem;337;779,5;1169;1,95;207,0;208,9;0,12076999992132187;0,066
sem_barragem;338;791,2;1184;6,32;70,5;76,8;0,0033199999015778303;0,065
sem_barragem;339;792,5;1186;2,99;67,0;70,0;0,03824999928474426;0,068
sem_barragem;340;794,4;1188;4,6;27,2;31,8;0,0012700000079348683;0,059
sem_barragem;341;813,9;1213;5,8;203,5;209,3;0,003490000031888485;0,066
sem_barragem;342;820,8;1222;7,56;199,5;207,1;0,003060000017285347;0,065
sem_barragem;343;822,5;1224;5,94;195,5;201,4;0,0038900000508874655;0,063
sem_barragem;344;824,4;1226;5,91;191,0;196,9;0,004310000222176313;0,064
sem_barragem;345;834,9;1240;7,33;187,0;194,3;0,0026199999265372753;0,065
sem_barragem;346;850,5;1259;2,05;183,2;185,3;0,1392499953508377;0,067
sem_barragem;347;861,4;1273;1,25;27,4;28,6;0,1370600014925003;0,052
sem_barragem;348;865,8;1278;6,68;179,5;186,2;0,003930000122636557;0,062
sem_barragem;349;867,9;1281;7,44;175,5;182,9;0,003490000031888485;0,063
sem_barragem;350;872,6;1287;7,8;171,8;179,5;0,0034000000450760126;0,064
sem_barragem;351;874,0;1289;7,03;168,0;175,0;0,003060000017285347;0,059
sem_barragem;352;877,4;1293;1,84;26,0;27,8;0,12266000360250473;0,066
sem_barragem;353;881,0;1298;2,67;26,3;29,0;0,0017399999778717756;0,064
sem_barragem;354;886,9;1305;4,06;25,0;29,1;0,00203999993391335;0,058
sem_barragem;355;887,8;1306;1,7;24,9;26,6;0,12473999708890915;0,053
sem_barragem;356;891,9;1311;0,58;162,5;163,1;0,123089998960495;0,046
