dist_montante_m;estaca_ras_m;x;y;cota_m;cota_talvegue_m
18500,0;20902,2;409242,6097415365;6743865,453735961;14,0;14,0
18550,0;20852,2;409287,54499737365;6743843,671987906;14,0;14,0
18600,0;20802,2;409331,9684473874;6743820,725156123;14,0;14,0
18650,0;20752,2;409376,3918974012;6743797,7783243405;14,0;14,0
18700,0;20702,2;409420,81534741493;6743774,831492557;14,0;14,0
18750,0;20652,2;409465,23879742867;6743751,884660774;14,0;14,0
18800,0;20602,2;409509,6622474424;6743728,937828992;14,0;14,0
18850,0;20552,2;409554,08569745615;6743705,990997208;14,0;14,0
18900,0;20502,2;409598,50914746994;6743683,044165425;14,0;14,0
18950,0;20452,2;409642,9325974837;6743660,097333643;14,0;14,0
19000,0;20402,2;409687,3560474974;6743637,150501859;14,0;14,0
19050,0;20352,2;409731,77949751116;6743614,203670076;14,0;14,0
19100,0;20302,2;409776,2029475249;6743591,256838294;14,0;14,0
19150,0;20252,2;409820,62639753864;6743568,3100065105;14,0;14,0
19200,0;20202,2;409865,04984755244;6743545,363174727;14,0;14,0
19250,0;20152,2;409907,7785431125;6743519,861738555;14,0;14,0
19300,0;20102,2;409946,1910375445;6743487,854235193;14,0;14,0
19350,0;20052,2;409984,60353197646;6743455,846731829;14,0;14,0
19400,0;20002,2;410023,0160264084;6743423,839228467;14,0;14,0
19450,0;19952,2;410061,4285208404;6743391,831725105;14,0;14,0
19500,0;19902,2;410099,84101527237;6743359,824221741;14,0;14,0
19550,0;19852,2;410138,2535097044;6743327,816718379;14,0;14,0
19600,0;19802,2;410176,6660041363;6743295,809215017;14,0;14,0
19650,0;19752,2;410215,07849856827;6743263,801711653;14,0;14,0
19700,0;19702,2;410253,4909930003;6743231,794208291;14,0;14,0
19750,0;19652,2;410291,9034874322;6743199,786704928;14,0;14,0
19800,0;19602,2;410322,16203296493;6743161,657727098;14,0;14,0
19850,0;19552,2;410342,1769793492;6743115,838496188;14,0;14,0
19900,0;19502,2;410362,19192573347;6743070,019265277;14,0;14,0
19950,0;19452,2;410382,2068721177;6743024,200034366;14,0;14,0
20000,0;19402,2;410402,221818502;6742978,380803456;14,0;14,0
20050,0;19352,2;410422,23676488624;6742932,561572545;14,0;14,0
20100,0;19302,2;410442,2517112705;6742886,742341635;14,0;14,0
20150,0;19252,2;410462,2666576548;6742840,923110724;14,0;14,0
20200,0;19202,2;410482,281604039;6742795,103879814;14,0;14,0
20250,0;19152,2;410502,29655042326;6742749,284648903;17,06999969482422;14,0
20300,0;19102,2;410522,31149680755;6742703,465417992;14,0;14,0
20350,0;19052,2;410542,3264431918;6742657,646187082;14,0;14,0
20400,0;19002,2;410562,3413895761;6742611,826956172;14,0;14,0
20450,0;18952,2;410582,3563359603;6742566,007725261;14,0;14,0
20500,0;18902,2;410602,37128234457;6742520,18849435;14,0;14,0
20550,0;18852,2;410622,38622872886;6742474,369263439;14,0;14,0
20600,0;18802,2;410642,4011751131;6742428,550032529;14,0;14,0
20650,0;18752,2;410662,41612149734;6742382,730801619;14,0;14,0
20700,0;18702,2;410682,43106788164;6742336,911570708;14,0;14,0
20750,0;18652,2;410702,4460142659;6742291,092339798;14,0;14,0
20800,0;18602,2;410722,4609606501;6742245,273108887;14,0;14,0
20850,0;18552,2;410742,4759070344;6742199,453877976;14,0;14,0
20900,0;18502,2;410762,49085341865;6742153,634647066;14,0;14,0
20950,0;18452,2;410782,5057998029;6742107,815416155;14,0;14,0
21000,0;18402,2;410802,5207461872;6742061,996185245;14,0;14,0
21050,0;18352,2;410822,53569257143;6742016,176954334;14,0;14,0
21100,0;18302,2;410838,27153748873;6741969,2305344865;14,0;14,0
21150,0;18252,2;410843,42682931566;6741919,497014943;14,0;14,0
21200,0;18202,2;410848,5821211426;6741869,7634954;14,0;14,0
21250,0;18152,2;410853,7374129695;6741820,029975856;14,0;14,0
21300,0;18102,2;410858,89270479645;6741770,296456312;14,0;14,0
21350,0;18052,2;410864,0479966234;6741720,562936769;14,0;14,0
21400,0;18002,2;410869,2032884503;6741670,829417225;14,0;14,0
21450,0;17952,2;410874,35858027724;6741621,095897682;14,0;14,0
21500,0;17902,2;410879,5138721042;6741571,362378138;14,0;14,0
21550,0;17852,2;410843,29511468095;6741539,125577087;14,0;14,0
21600,0;17802,2;410804,02160389745;6741508,180604138;14,0;14,0
21650,0;17752,2;410764,74809311394;6741477,235631191;14,0;14,0
21700,0;17702,2;410725,47458233044;6741446,290658243;14,0;14,0
21750,0;17652,2;410686,20107154694;6741415,345685296;14,0;14,0
21800,0;17602,2;410646,92756076343;6741384,400712348;14,0;14,0
21850,0;17552,2;410605,79730269685;6741360,691654916;14,0;14,0
21900,0;17502,2;410556,47619132866;6741368,9031087095;14,0;14,0
21950,0;17452,2;410507,1550799605;6741377,114562503;14,0;14,0
22000,0;17402,2;410457,8339685923;6741385,326016298;14,0;14,0
22050,0;17352,2;410408,51285722415;6741393,537470091;14,0;14,0
22100,0;17302,2;410359,19174585596;6741401,748923885;14,0;14,0
22150,0;17252,2;410309,8706344878;6741409,960377678;14,0;14,0
22200,0;17202,2;410260,5495231196;6741418,171831473;14,0;14,0
22250,0;17152,2;410211,2284117514;6741426,383285266;14,0;14,0
22300,0;17102,2;410164,4692533911;6741440,226351866;14,0;14,0
